Symbol	Company Name	Industry	Market Cap			
AERI	Aerie Pharmaceuticals	Pharmaceuticals	752.63M			
AES	The AES Corporation	Independent Power and Renewable Elect...	18.76B			
AESE	Allied Esports Entertainment	"Hotels, Restaurants & Leisure"	49.25M			
AEVA	Aeva Technologies	Auto Parts	440.35M			
AEY	ADDvantage Technologies Group	"Electronic Equipment, Instruments & C..."	29.77M			
AEYE	AudioEye	Software	56.44M			
AEZS	AEterna Zentaris	Biotechnology	18.40M			
AFAC	Arena Fortify Acquisition	Blank Check / SPAC	176.30M			
AFAQ	AF Acquisition	Blank Check / SPAC	224.00M			
AFAR	Aura FAT Projects Acquisition	Blank Check / SPAC	117.78M			
AFBI	Affinity Bancshares	Banks	96.74M			
AFCG	AFC Gamma	REIT-Specialty	314.35M			
AFG	American Financial Group	Insurance	12.07B			
AFIB	Acutus Medical	Medical Devices	19.98M			
AFL	Aflac	Insurance	44.42B			
AFMD	Affimed	Biotechnology	324.07M			
AFRI	Forafric Global	Farm Products	301.80M			
AFRM	Affirm Holdings	IT Services	3.91B			
AFTR	AfterNext HealthTech Acquisition	Blank Check / SPAC	247.75M			
AFYA	Afya Limited	Diversified Consumer Services	718.50M			
AG	First Majestic Silver	Metals & Mining	2.49B			
AGAC	African Gold Acquisition	Blank Check / SPAC	413.17M			
AGBA	AGBA Acquisition	Blank Check / SPAC	33.78M			
AGCB	Altimeter Growth 2	Shell Companies	460.54M			
AGCO	AGCO Corporation	Machinery	9.54B			
AGE	AgeX Therapeutics	Biotechnology	23.15M			
AGEN	Agenus	Biotechnology	765.08M			
AGFS	AgroFresh Solutions	Chemicals	145.95M			
AGFY	Agrify	Machinery	9.98M			
AGGR	Agile Growth	Shell Companies	309.38M			
AGI	Alamos Gold	Metals & Mining	3.49B			
AGIL	AgileThought	Software-Application	211.57M			
AGIO	Agios Pharmaceuticals	Biotechnology	1.61B			
AGL	agilon health	Medical Care Facilities	7.82B			
AGLE	Aeglea Biotherapeutics	Biotechnology	84.27M			
AGM	Federal Agricultural Mortgage	Thrifts & Mortgage Finance	1.13B			
AGM.A	Federal Agricultural Mortgage	Credit Services	110.59M			
AGMH	AGM Group Holdings	Capital Markets	39.29M			
AGNC	AGNC Investment	Mortgage Real Estate Investment Trust...	5.50B			
AGO	Assured Guaranty	Insurance	3.73B			
AGR	Avangrid	Electric Utilities	15.89B			
AGRI	AgriFORCE Growing Systems	Farm Products	15.40M			
AGRO	Adecoagro	Food Products	861.99M			
AGRX	Agile Therapeutics	Pharmaceuticals	8.89M			
AGS	PlayAGS	"Hotels, Restaurants & Leisure"	230.71M			
AGTC	Applied Genetic Technologies	Biotechnology	27.37M			
AGTI	Agiliti	Health Information Services	2.00B			
AGX	Argan	Construction & Engineering	514.55M			
AGYS	Agilysys	Software	1.63B			
AHCO	AdaptHealth	Health Care Providers & Services	3.08B			
